"","x","y","SVM.Aspatial","SVM.SDO"
"82",1036340.144,-4229360.115,1.83478643931374,1.80092915348358
"83",1046340.144,-4229360.115,1.83285229378458,1.74008483180699
"84",1056340.144,-4229360.115,1.88386160953314,1.66903404349118
"85",1066340.144,-4229360.115,1.87454218594849,1.59707888796447
"86",1076340.144,-4229360.115,1.69215181139018,1.54366686659667
"87",1086340.144,-4229360.115,1.27464116870798,1.50317555681219
"88",1096340.144,-4229360.115,1.02318226258593,1.47541244319892
"89",1106340.144,-4229360.115,1.62790361862683,1.44391780016765
"90",1116340.144,-4229360.115,1.6028955045618,1.44520470181576
"91",866340.144,-4219360.115,1.42207029201348,1.91515203227195
"92",876340.144,-4219360.115,1.49276796815772,1.94200211032332
"93",886340.144,-4219360.115,1.59738700680095,1.9574222954066
"94",896340.144,-4219360.115,1.34482047802357,1.98281440317271
"95",906340.144,-4219360.115,1.35034677507435,1.99442994326385
"96",916340.144,-4219360.115,1.2428992374241,2.00749019002266
"97",926340.144,-4219360.115,1.22166304260592,2.01513339832961
"98",936340.144,-4219360.115,1.28590907707679,2.00831745114102
"99",946340.144,-4219360.115,1.18029438752021,2.00605138262972
"100",956340.144,-4219360.115,1.44900839675117,1.99598895540934
"101",966340.144,-4219360.115,1.19740553451458,1.98092365394697
"102",976340.144,-4219360.115,1.34007252458487,1.96275202338306
"103",986340.144,-4219360.115,1.33754282665173,1.94382760912605
"104",996340.144,-4219360.115,1.60448899152017,1.93236666928252
"105",1006340.144,-4219360.115,0.889832153377547,1.91142163578491
"106",1016340.144,-4219360.115,1.80738882700563,1.89727038883316
"107",1026340.144,-4219360.115,1.58606842835052,1.87175655922227
"108",1036340.144,-4219360.115,1.83579489279802,1.83416342312818
"109",1046340.144,-4219360.115,1.69668953059767,1.78528011386854
"110",1056340.144,-4219360.115,1.72296910860698,1.70822209027682
"111",1066340.144,-4219360.115,1.70612475145244,1.62970982052632
"112",1076340.144,-4219360.115,1.5574311817248,1.56549419330937
"113",1086340.144,-4219360.115,1.16169840675842,1.52195511236548
"114",1096340.144,-4219360.115,0.997499408233006,1.48875989637429
"115",866340.144,-4209360.115,1.58107015048629,1.94414364915565
"116",876340.144,-4209360.115,1.60340646608743,1.96616559414609
"117",886340.144,-4209360.115,1.81535119634087,1.98284203434985
"118",896340.144,-4209360.115,1.59506942212198,2.00906941973338
"119",906340.144,-4209360.115,1.63383882418284,2.02945258862147
"120",916340.144,-4209360.115,1.65329075038929,2.04058753668941
"121",926340.144,-4209360.115,1.41338392455195,2.04584268699169
"122",936340.144,-4209360.115,1.48382817058216,2.04788268862498
"123",946340.144,-4209360.115,1.60117455974435,2.04375200399149
"124",956340.144,-4209360.115,1.72782303478872,2.03596573706626
"125",966340.144,-4209360.115,1.62254129149311,2.01941399046216
"126",976340.144,-4209360.115,1.68625786456884,2.00144902137534
"127",986340.144,-4209360.115,1.63922296342156,1.97289213923252
"128",996340.144,-4209360.115,1.87517288127919,1.95356817344941
"129",1006340.144,-4209360.115,0.886672039422893,1.9322568037926
"130",1016340.144,-4209360.115,0.959396193887049,1.91536872594022
"131",1026340.144,-4209360.115,1.12769766859626,1.89606745011793
"132",1036340.144,-4209360.115,1.85161918484582,1.8651739855918
"133",1046340.144,-4209360.115,1.71125710800436,1.81115890295725
